"m.z"	"time"
88.0214583267241	208.318905537343
88.0214838418398	92.2348850563831
96.9395177942507	56.7302037169778
99.0205082785072	112.395085266977
109.551433281596	186.403911745344
110.998440134327	20.7301788408619
112.542528305131	182.766638852991
113.050772165425	266.661884280878
114.558266281435	125.284371576158
122.520124021861	125.302866367655
123.550346681345	268.770797051478
128.516237168258	168.292534124866
137.024829858519	77.9561849414823
137.974386561704	144.054058690912
139.987733590691	230.608685362429
143.07018517057	27.2143680955613
145.10832041194	15.7357101016547
151.971845568997	156.796157432755
152.038200981721	114.668329230493
159.016432756413	163.045646065732
160.977091903998	154.238365310454
162.075957677514	14.3947600864234
167.092653228269	15.9992865140603
168.138146858157	12.4379447517906
168.919613461347	20.5565650572304
169.982348517669	156.146355213994
172.485053517069	155.185421303305
172.986787521478	151.033424837555
177.069030218233	185.246435325597
179.485255419991	158.267152829512
179.508199325637	273.600058081156
187.096256420083	288.838768999445
189.987586558029	41.0134638491401
190.993211216996	155.324447960275
193.948122415798	148.288102748343
194.028143263353	62.9593714966379
194.966525156488	41.8433255742224
199.468774734391	145.455779544655
199.99671315779	140.381179584385
205.117993651681	183.985270233381
206.940752317736	50.9651994336992
207.950428495469	13.8763312759125
209.058404386785	215.235236870899
209.98948027741	136.195438331118
211.958468784025	146.970822635561
213.112022741482	78.102271475481
214.060574507864	245.361385982633
217.10668359517	22.4983425283729
217.47647596559	296.775146859312
217.957424214217	150.977627794455
220.883215146575	154.792717144218
221.016950354742	126.105278275066
223.136419130261	182.883259887206
224.07115027576	183.342097321806
225.070128310403	184.716936176707
229.968491230909	173.194899986519
232.190304058463	26.7740162624905
233.200884247406	25.122438643357
237.101805699163	256.845805407143
238.986663479327	171.967654718581
241.142942910584	88.2931081089965
242.944215161387	150.001551016742
248.896012771686	43.4687090325825
254.922151992721	165.979580925022
255.096955228165	68.0489660947106
259.616738131113	157.865335580535
261.909316677246	157.337079275278
269.247020504339	16.8613713094337
270.809846459035	67.7450243940364
279.919999925127	154.923741420858
285.184261043429	17.9074331628115
286.309838394105	24.2745718216277
292.809794135528	63.071561956638
294.831189062881	53.4705784094871
