"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"109.028322529927","C00472","M+H[1+]","5.39368430025888e-05"
"109.028322529927","C00196","M-HCOOH+H[1+]","0.000153936842991698"
"109.028322529927","C00230","M-HCOOH+H[1+]","0.000153936842991698"
"109.028322529927","C00628","M-HCOOH+H[1+]","0.000153936842991698"
"109.028322529927","C00922","M-H4O2+H[1+]","5.39368430167997e-05"
"109.028322529927","C00961","M+3H[3+]","8.72701763370287e-05"
"109.028322529927","C01108","M-H2O+H[1+]","5.39368430025888e-05"
"109.028322529927","C01179","M-C3H4O2+H[1+]","0.000153936843005908"
"109.028322529927","C01197","M-C3H4O2+H[1+]","0.000153936843005908"
"109.028322529927","C01405","M-C3H4O2+H[1+]","0.000153936843005908"
"186.125139656918","C01404","M-NH3+H[1+]","0.00136319014799824"
"221.116919170581","C00808","M+HCOONa[1+]","0.00214270381098913"
"221.116919170581","C00809","M+HCOONa[1+]","0.00214270381098913"
"221.116919170581","C00964","M+HCOONa[1+]","0.00214270381098913"
"221.116919170581","C01123","M+HCOONa[1+]","0.00214270381098913"
"242.994770697661","C00850","M+HCOONa[1+]","0.00139423089098045"
"151.061362344266","C00073","M(C13)+H[1+]","0.000314122503993985"
"151.061362344266","C00121","M+H[1+]","0.00128587749600229"
"151.061362344266","C00181","M+H[1+]","0.00128587749600229"
"151.061362344266","C00216","M+H[1+]","0.00128587749600229"
"151.061362344266","C00259","M+H[1+]","0.00128587749600229"
"151.061362344266","C00309","M+H[1+]","0.00128587749600229"
"151.061362344266","C00310","M+H[1+]","0.00128587749600229"
"151.061362344266","C00312","M+H[1+]","0.00128587749600229"
"151.061362344266","C00476","M+H[1+]","0.00128587749600229"
"151.061362344266","C00508","M+H[1+]","0.00128587749600229"
"151.061362344266","C00855","M(C13)+H[1+]","0.000314122503993985"
"151.061362344266","C01394","M+H[1+]","0.00128587749600229"
"151.061362344266","C00191","M-CO2+H[1+]","0.00118587749599897"
"151.061362344266","C00198","M-CO+H[1+]","0.00138587749600561"
"151.061362344266","C00204","M-CO+H[1+]","0.00138587749600561"
"151.061362344266","C00257","M-HCOOH+H[1+]","0.00118587749599897"
"151.061362344266","C00273","M-CO+H[1+]","0.00138587749600561"
"151.061362344266","C00333","M-CO2+H[1+]","0.00118587749599897"
"151.061362344266","C00489","M+H2O+H[1+]","0.00118587749597054"
"151.061362344266","C00514","M-HCOOH+H[1+]","0.00118587749599897"
"151.061362344266","C00558","M-CO2+H[1+]","0.00118587749599897"
"151.061362344266","C00618","M-CO2+H[1+]","0.00118587749599897"
"151.061362344266","C00691","M-CO+H[1+]","0.00138587749600561"
"151.061362344266","C00770","M-HCOOH+H[1+]","0.00118587749599897"
"151.061362344266","C00800","M-HCOOH+H[1+]","0.00118587749599897"
"151.061362344266","C00817","M-HCOOH+H[1+]","0.00118587749599897"
"151.061362344266","C00880","M-HCOOH+H[1+]","0.00118587749599897"
"151.061362344266","C00900","M+H2O+H[1+]","0.00118587749597054"
"151.061362344266","C00905","M-CO2+H[1+]","0.00118587749599897"
"151.061362344266","C01040","M-CO+H[1+]","0.00138587749600561"
"151.061362344266","C01062","M-CO2+H[1+]","0.00118587749599897"
"151.061362344266","C01115","M-CO+H[1+]","0.00138587749600561"
"151.061362344266","C01216","M-CO+H[1+]","0.00138587749600561"
"139.987733590691","C00227","M[1+]","0.000233590690982055"
"187.086279963012","C00977","M-NH3+H[1+]","0.00039650375799738"
"187.086279963012","C00078","M-H2O+H[1+]","0.00029650375799406"
"187.086279963012","C00525","M-H2O+H[1+]","0.00029650375799406"
"187.086279963012","C00806","M-H2O+H[1+]","0.00029650375799406"
"105.033414292823","C00093","M-HCOONa+H[1+]","0.000162173947003907"
"105.033414292823","C00180","M-H2O+H[1+]","6.21739470005878e-05"
"105.033414292823","C00539","M-H2O+H[1+]","6.21739470005878e-05"
