File.Name	Sample.ID	Batch
VK_180504_031.mzXML	N2_bcat1_D2C_2_1	1
VK_180504_033.mzXML	N2_bcat1_D2C_2_3	1
VK_180504_035.mzXML	N2_bcat1_D2C_2_5	1
VK_180504_037.mzXML	N2_L4440_D2_2_1	1
VK_180504_039.mzXML	N2_L4440_D2_2_3	1
VK_180504_041.mzXML	N2_L4440_D2_2_5	1
VK_180504_043.mzXML	N2_bcat1_D2_1 _1	1
VK_180504_045.mzXML	N2_bcat1_D2_1 _3	1
VK_180504_047.mzXML	N2_bcat1_D2_1 _5	1
VK_180504_049.mzXML	N2_L4440_D2C_2_1	1
VK_180504_051.mzXML	N2_L4440_D2C_2_3	1
VK_180504_053.mzXML	N2_L4440_D2C_2_5	1
VK_180504_055.mzXML	N2_bcat1_D2C_1 _1	1
VK_180504_057.mzXML	N2_bcat1_D2C_1 _3	1
VK_180504_059.mzXML	N2_bcat1_D2C_1 _5	1
VK_180504_061.mzXML	N2_L4440_D5_2_1	1
VK_180504_063.mzXML	N2_L4440_D5_2_3	1
VK_180504_065.mzXML	N2_L4440_D5_2_5	1
VK_180504_067.mzXML	N2_bcat1_D5_2_1	1
VK_180504_069.mzXML	N2_bcat1_D5_2_3	1
VK_180504_071.mzXML	N2_bcat1_D5_2_5	1
VK_180504_073.mzXML	N2_L4440_D5C_2_1	1
VK_180504_075.mzXML	N2_L4440_D5C_2_3	1
VK_180504_077.mzXML	N2_L4440_D5C_2_5	1
VK_180504_079.mzXML	N2_bcat1_D5C_2_1	1
VK_180504_081.mzXML	N2_bcat1_D5C_2_3	1
VK_180504_083.mzXML	N2_bcat1_D5C_2_5	1
VK_180504_085.mzXML	QSTD2_3_1	1
VK_180504_087.mzXML	QSTD2_3_3	1
VK_180504_089.mzXML	QSTD2_3_5	1
VK_180504_091.mzXML	QSTD2_4_1	1
VK_180504_093.mzXML	QSTD2_4_3	1
VK_180504_095.mzXML	QSTD2_4_5	1
VK_180504_097.mzXML	N2_MPP_1_1	1
VK_180504_099.mzXML	N2_MPP_1_3	1
VK_180504_101.mzXML	N2_MPP_1_5	1
VK_180504_103.mzXML	N2_C_5_1	1
VK_180504_105.mzXML	N2_C_5_3	1
VK_180504_107.mzXML	N2_C_5_5	1
VK_180504_109.mzXML	Bact_B_5_1	1
VK_180504_111.mzXML	Bact_B_5_3	1
VK_180504_113.mzXML	Bact_B_5_5	1
VK_180504_115.mzXML	M9_B_2_1	1
VK_180504_117.mzXML	M9_B_2_3	1
VK_180504_119.mzXML	M9_B_2_5	1
VK_180504_121.mzXML	N2_MPP_4_1	1
VK_180504_123.mzXML	N2_MPP_4_3	1
VK_180504_125.mzXML	N2_MPP_4_5	1
VK_180504_127.mzXML	N2_C_2_1	1
VK_180504_129.mzXML	N2_C_2_3	1
VK_180504_131.mzXML	N2_C_2_5	1
VK_180504_133.mzXML	Bact_B_3_1	1
VK_180504_135.mzXML	Bact_B_3_3	1
VK_180504_137.mzXML	Bact_B_3_5	1
VK_180504_139.mzXML	M9_B_5_1	1
VK_180504_141.mzXML	M9_B_5_3	1
VK_180504_143.mzXML	M9_B_5_5	1
VK_180504_145.mzXML	N2_MPP_3_1	1
VK_180504_147.mzXML	N2_MPP_3_3	1
VK_180504_149.mzXML	N2_MPP_3_5	1
VK_180504_151.mzXML	N2_C_4_1	1
VK_180504_153.mzXML	N2_C_4_3	1
VK_180504_155.mzXML	N2_C_4_5	1
VK_180504_157.mzXML	QSTD2_5_1	1
VK_180504_159.mzXML	QSTD2_5_3	1
VK_180504_161.mzXML	QSTD2_5_5	1
VK_180504_163.mzXML	QSTD2_6_1	1
VK_180504_165.mzXML	QSTD2_6_3	1
VK_180504_167.mzXML	QSTD2_6_5	1
VK_180504_169.mzXML	Bact_B_4_1	1
VK_180504_171.mzXML	Bact_B_4_3	1
VK_180504_173.mzXML	Bact_B_4_5	1
VK_180504_175.mzXML	M9_B_4_1	1
VK_180504_177.mzXML	M9_B_4_3	1
VK_180504_179.mzXML	M9_B_4_5	1
VK_180504_181.mzXML	N2_MPP_2_1	1
VK_180504_183.mzXML	N2_MPP_2_3	1
VK_180504_185.mzXML	N2_MPP_2_5	1
VK_180504_187.mzXML	N2_C_1_1	1
VK_180504_189.mzXML	N2_C_1_3	1
VK_180504_191.mzXML	N2_C_1_5	1
VK_180504_193.mzXML	Bact_B_2_1	1
VK_180504_195.mzXML	Bact_B_2_3	1
VK_180504_197.mzXML	Bact_B_2_5	1
VK_180504_199.mzXML	M9_B_1_1	1
VK_180504_201.mzXML	M9_B_1_3	1
VK_180504_203.mzXML	M9_B_1_5	1
VK_180504_205.mzXML	N2_MPP_5_1	1
VK_180504_207.mzXML	N2_MPP_5_3	1
VK_180504_209.mzXML	N2_MPP_5_5	1
VK_180504_211.mzXML	N2_C_3_1	1
VK_180504_213.mzXML	N2_C_3_3	1
VK_180504_215.mzXML	N2_C_3_5	1
VK_180504_217.mzXML	Bact_B_1_1	1
VK_180504_219.mzXML	Bact_B_1_3	1
VK_180504_221.mzXML	Bact_B_1_5	1
VK_180504_223.mzXML	M9_B_3_1	1
VK_180504_225.mzXML	M9_B_3_3	1
VK_180504_227.mzXML	M9_B_3_5	1
VK_180504_229.mzXML	QSTD2_7_1	1
VK_180504_231.mzXML	QSTD2_7_3	1
VK_180504_233.mzXML	QSTD2_7_5	1
VK_180504_235.mzXML	QSTD2_8_1	1
VK_180504_237.mzXML	QSTD2_8_3	1
VK_180504_239.mzXML	QSTD2_8_5	1
