"m.z"	"p.value"	"t.score"
88.0214583267241	0.01	0.371972511782087
88.0214838418398	0.01	-0.401832408142471
96.9395177942507	0.01	-0.54823715128354
99.0205082785072	0.01	-0.679774513041878
109.551433281596	0.01	0.395065179086233
110.998440134327	0.01	-0.462141642523665
112.542528305131	0.01	0.442337248518807
113.050772165425	0.01	-0.503830788405149
114.558266281435	0.01	-0.378726938956076
122.520124021861	0.01	-0.397341942988691
123.550346681345	0.01	-0.605909382863457
128.516237168258	0.01	-0.61731328697935
137.024829858519	0.01	0.513333914750726
137.974386561704	0.01	-0.443708475641209
139.987733590691	0.01	0.654527256667531
143.07018517057	0.01	0.36736220287435
145.10832041194	0.01	0.367426694937869
151.971845568997	0.01	-0.389832850492068
152.038200981721	0.01	0.410816265282439
159.016432756413	0.01	0.459971398359427
160.977091903998	0.01	-0.407457770764606
162.075957677514	0.01	-0.362533581686566
167.092653228269	0.01	0.366054198501537
168.138146858157	0.01	0.652539379964135
168.919613461347	0.01	-0.539048076008626
169.982348517669	0.01	-0.412866758312063
172.485053517069	0.01	-0.45798855766431
172.986787521478	0.01	-0.448567409317598
177.069030218233	0.01	0.386766897669969
179.485255419991	0.01	-0.379992345641713
179.508199325637	0.01	-0.377696722510186
187.096256420083	0.01	-0.413319313019401
189.987586558029	0.01	0.376139921691744
190.993211216996	0.01	-0.446899370325496
193.948122415798	0.01	-0.501827146580211
194.028143263353	0.01	-0.476703479909136
194.966525156488	0.01	0.415371818877802
199.468774734391	0.01	0.400129358635134
199.99671315779	0.01	-0.433137934839639
205.117993651681	0.01	0.445883912924672
206.940752317736	0.01	-0.434259274219622
207.950428495469	0.01	0.446739804321238
209.058404386785	0.01	0.362366856480594
209.98948027741	0.01	0.361653173021023
211.958468784025	0.01	-0.499823476177384
213.112022741482	0.01	0.402329675136908
214.060574507864	0.01	0.457292140043833
217.10668359517	0.01	0.500811863046506
217.47647596559	0.01	0.367371972943915
217.957424214217	0.01	-0.358384827259775
220.883215146575	0.01	-0.40164729291831
221.016950354742	0.01	-0.391160327219959
223.136419130261	0.01	0.380039911270941
224.07115027576	0.01	0.447746139843576
225.070128310403	0.01	0.402037485148213
229.968491230909	0.01	0.371651228278533
232.190304058463	0.01	-0.392644419730897
233.200884247406	0.01	0.363212431246257
237.101805699163	0.01	0.364820335337722
238.986663479327	0.01	-0.570759897552515
241.142942910584	0.01	-0.458938789936658
242.944215161387	0.01	-0.356512362627538
248.896012771686	0.01	0.562971725713032
254.922151992721	0.01	0.378911932210441
255.096955228165	0.01	0.369636864585655
259.616738131113	0.01	0.364862065297086
261.909316677246	0.01	-0.425541636549499
